,ID,DeckID,ClassNameForDebug,Category,Factory,Nationalite,_ShortDatabaseName,MotherCountry,ProductionPrice,MaxDeployableAmount,UnitTypeTokens,NameInMenuToken,NameInMenu
0,18559,834,Building_FOB_ANZ,8,3,null,Descriptor_Building_FOB_ANZ,ANZ,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
1,18560,787,Building_FOB_CAN,8,3,null,Descriptor_Building_FOB_CAN,CAN,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
2,18561,637,Building_FOB_CHINE,8,3,1,Descriptor_Building_FOB_CHINE,CHI,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
3,18562,615,Building_FOB_CZ,8,3,1,Descriptor_Building_FOB_CZ,TCH,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
4,18563,788,Building_FOB_DK,8,3,null,Descriptor_Building_FOB_DK,DAN,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
5,18564,976,Building_FOB_FIN,8,3,1,Descriptor_Building_FOB_FIN,FIN,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
6,18565,789,Building_FOB_FR,8,3,null,Descriptor_Building_FOB_FR,FR,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
7,18566,1015,Building_FOB_HOL,8,3,null,Descriptor_Building_FOB_HOL,HOL,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
8,18567,1113,Building_FOB_ISR,8,3,null,Descriptor_Building_FOB_ISR,ISR,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
9,18568,835,Building_FOB_JAP,8,3,null,Descriptor_Building_FOB_JAP,JAP,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
10,18569,638,Building_FOB_NK,8,3,1,Descriptor_Building_FOB_NK,NK,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
11,18570,790,Building_FOB_NOR,8,3,null,Descriptor_Building_FOB_NOR,NOR,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
12,18571,791,Building_FOB_OTAN,8,3,null,Descriptor_Building_FOB_OTAN,US,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
13,18572,616,Building_FOB_POL,8,3,1,Descriptor_Building_FOB_POL,POL,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
14,18573,617,Building_FOB_RDA,8,3,1,Descriptor_Building_FOB_RDA,RDA,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
15,18574,792,Building_FOB_RFA,8,3,null,Descriptor_Building_FOB_RFA,RFA,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
16,18575,836,Building_FOB_ROK,8,3,null,Descriptor_Building_FOB_ROK,ROK,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
17,18576,793,Building_FOB_SWE,8,3,null,Descriptor_Building_FOB_SWE,SWE,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
18,18577,794,Building_FOB_UK,8,3,null,Descriptor_Building_FOB_UK,UK,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
19,18578,618,Building_FOB_Varsovie,8,3,1,Descriptor_Building_FOB_Varsovie,URSS,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
20,18579,977,Building_FOB_YUG,8,3,1,Descriptor_Building_FOB_YUG,YUG,"['75', '75', '75', '75', '75']","['1', '0', '0', '0', '0']","['23B8605ED9380000', '0BB7685ED9380000', '8BD43C9757360E00', '5C76718B57360E00', '5E767965E3000000', 'DAD77965E3000000']",4C06010000000000,FOB
