[ID],VisibilityRuleDescriptor,TimeBetweenEachIdentifyRoll,IdentifyBaseProbability,DistanceMultiplierRule
42729,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,15,0.1333333,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
42762,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,10,0.2,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
42777,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,8,0.2666667,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
42842,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,4,0.5666667,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
42908,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,5,0.4,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
43133,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,3,0.7333333,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
49969,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,7,0.2,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
50122,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,6,0.3,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
50306,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,30,null,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
50312,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,10,0.2,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
50355,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,5,0.4,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
50390,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,8,0.2666667,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
50397,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,3,0.7333333,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
50432,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,4,0.5666667,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
51019,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,null,null,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
51423,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,6,0.3,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
51515,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,3,0.6,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
51569,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,2,0.9,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
51740,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,1,1,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
53294,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,null,null,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
103232,172 : 53407 (True) - TModernWarfareVisibilityRollRuleDescriptor,null,null,173 : 53408 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
